mm-dd,es,ca,en,author
02-07,Cada hombre y cada mujer es una estrella.,Cada home i cada dona és una estrella.,Every man and every woman is a star.,Aleister Crowley
02-08,Haz tu Voluntad: esa será toda la Ley.,Fes la teva Voluntat: aquesta serà tota la Llei.,Do what thou wilt shall be the whole of the Law.,Aleister Crowley
02-09,"El amor es la Ley, amor bajo la voluntad.","L'amor és la Llei, amor sota la voluntat.","Love is the law, love under will.",Aleister Crowley
02-10,El éxito es tu prueba.,L'èxit n'és la prova.,Success is thy proof.,Aleister Crowley
02-11,El Tarot es una llave del Árbol de la Vida.,El Tarot és una clau per a l'Arbre de la Vida.,The Tarot is a key to the Tree of Life.,Paul Foster Case
02-12,El Tarot es un manual pictórico de filosofía oculta.,El Tarot és un manual pictòric de filosofia oculta.,Tarot is a pictorial textbook of occult philosophy.,Paul Foster Case
02-13,La Cábala es el yoga de Occidente.,La Cabalà és el ioga d'Occident.,Kabbalah is the yoga of the West.,Dion Fortune
02-14,Los símbolos son el lenguaje de los Misterios.,Els símbols són la llengua dels Misteris.,Symbols are the language of the Mysteries.,Dion Fortune
02-15,El Tarot es una puerta simbólica.,El Tarot és una porta simbòlica.,The Tarot is a symbolic doorway.,Papus
02-16,Los Arcanos son claves del alma.,Els Arcanes són claus de l'ànima.,The Arcana are keys of the soul.,Papus
02-17,"Querer, saber, osar y callar.","Voler, saber, gosar i callar.","To will, to know, to dare, and to keep silent.",Éliphas Lévi
02-18,La imaginación gobierna el mundo mágico.,La imaginació governa el món màgic.,Imagination rules the magical world.,Éliphas Lévi
02-19,La voluntad es la piedra angular del mago.,La voluntat és la pedra angular del mag.,Will is the cornerstone of the mage.,Éliphas Lévi
02-20,Hazte canal de la luz.,Fes-te canal de la llum.,Make yourself a channel of light.,Tradición ocultista
02-21,El símbolo habla al inconsciente.,El símbol parla a l'inconscient.,The symbol speaks to the unconscious.,Tradición esotérica
02-22,La verdad se vela en imágenes.,La veritat es vela en imatges.,Truth is veiled in images.,Tradición esotérica
02-23,La práctica purifica la visión.,La pràctica purifica la visió.,Practice purifies vision.,Tradición esotérica
02-24,El mago trabaja en silencio.,El mag treballa en silenci.,The mage works in silence.,Tradición ocultista
02-25,La dosis hace al veneno.,La dosi fa el verí.,The dose makes the poison.,Paracelso
02-26,La naturaleza es el libro de Dios.,La natura és el llibre de Déu.,Nature is the book of God.,Paracelso
02-27,"Nada sin razón, nada por azar.","Res sense raó, res per atzar.","Nothing without reason, nothing by chance.",Heinrich Cornelius Agrippa
02-28,La magia es la más alta sabiduría.,La màgia és la saviesa més alta.,Magic is the highest wisdom.,Heinrich Cornelius Agrippa
02-29,Los nombres son cauces de poder.,Els noms són canals de poder.,Names are channels of power.,Cábala práctica
03-01,"Purifica, consagra, dirige.","Purifica, consagra, dirigeix.","Purify, consecrate, direct.",Golden Dawn
03-02,"Meditación, estudio y obra.","Meditació, estudi i obra.","Meditation, study, and work.",Golden Dawn
03-03,La luz interior guía.,La llum interior guia.,The inner light guides.,Golden Dawn
03-04,Los triunfos del Tarot son etapas de conciencia.,Els triomfs del Tarot són etapes de consciència.,The Tarot trumps are stages of consciousness.,A. E. Waite
03-05,Cada Arcano es un espejo.,Cada Arcà és un mirall.,Each Arcana is a mirror.,Paul Foster Case
03-06,El Loco es el soplo del espíritu.,El Boig és l'alè de l'esperit.,The Fool is the breath of spirit.,Paul Foster Case
03-07,La Sacerdotisa guarda el velo.,La Sacerdotessa guarda el vel.,The High Priestess keeps the veil.,A. E. Waite
03-08,El Ermitaño porta la lámpara.,L'Ermità porta la llanterna.,The Hermit carries the lamp.,Rider—Waite—Smith
03-09,La Templanza une los contrarios.,La Temperança uneix els contraris.,Temperance unites the opposites.,Rider—Waite—Smith
03-10,La Rueda gira eternamente.,La Roda gira eternament.,The Wheel turns eternally.,Rider—Waite—Smith
03-11,La Torre revela lo falso.,La Torre revela el fals.,The Tower reveals the false.,Rider—Waite—Smith
03-12,El Sol es claridad y vida.,El Sol és claredat i vida.,The Sun is clarity and life.,Rider—Waite—Smith
03-13,El Mundo es totalidad.,El Món és totalitat.,The World is totality.,Rider—Waite—Smith
03-14,"Como es arriba, actúa abajo.","Com és a dalt, actua a baix.","As above, act below.",Aforismo hermético
03-15,El microcosmos refleja el macrocosmos.,El microcosmos reflecteix el macrocosmos.,The microcosm reflects the macrocosm.,Aforismo hermético
03-16,"Lo que se siembra en lo sutil, florece en lo denso.","El que se sembra en allò subtil, floreix en allò dens.",What is sown in the subtle blooms in the dense.,Tradición esotérica
03-17,La intención dirige la energía.,La intenció dirigeix l'energia.,Intention directs energy.,Tradición ocultista
03-18,La pureza amplifica el poder.,La puresa amplifica el poder.,Purity amplifies power.,Tradición ocultista
03-19,El símbolo despierta.,El símbol desperta.,The symbol awakens.,Tradición esotérica
03-20,"La carta guía, no obliga.","La carta guia, no obliga.","The card guides, it does not compel.",Tarot tradicional
03-21,"Pregunta clara, lectura clara.","Pregunta clara, lectura clara.","Clear question, clear reading.",Tarot tradicional
03-22,Libre albedrío sobre destino.,Lliure albir sobre destí.,Free will over fate.,Tarot contemporáneo
03-23,Integra la sombra para ver la luz.,Integra l'ombra per veure la llum.,Integrate the shadow to see the light.,Psico-tarot
03-24,"Contempla, luego interpreta.","Contempla, després interpreta.","Contemplate, then interpret.",Tarot tradicional
03-25,Escucha antes de hablar.,Escolta abans de parlar.,Listen before you speak.,Aforismo iniciático
03-26,El camino se abre con el paso.,El camí s'obre amb el pas.,The path opens with the step.,Aforismo iniciático
03-27,Recuerda: todo gozo es tuyo.,Recorda: tot goig és teu.,Remember: all joy is yours.,Aleister Crowley (Liber AL)
03-28,Bebe y baila.,Beu i balla.,Drink and dance.,Aleister Crowley (Liber AL)
03-29,Ama como quieras.,Estima com vulguis.,Love as thou wilt.,Aleister Crowley (Liber AL)
03-30,Haz una valla para la Torá.,Fes una tanca per a la Torà.,Make a fence around the Torah.,Pirkei Avot 1:1
03-31,Sé de los discípulos de Aarón: ama la paz.,Sigues dels deixebles d'Aaron: estima la pau.,Be of the disciples of Aaron: love peace.,Pirkei Avot 1:12
04-01,"Quien aumenta carne, aumenta gusanos.","Qui augmenta carn, augmenta cucs.",He who increases flesh increases worms.,Pirkei Avot 2:7
04-02,No confíes en ti hasta el día de tu muerte.,No confiïs en tu fins al dia de la teva mort.,Do not trust yourself until the day of your death.,Pirkei Avot 2:4
04-03,El pudor conduce a la piedad.,El pudor condueix a la pietat.,Modesty leads to piety.,Pirkei Avot 3:17
04-04,"Diez y no nueve, diez y no once.","Deu i no nou, deu i no onze.","Ten and not nine, ten and not eleven.",Sefer Yetzirah 1:4
04-05,Su medida es sin fin.,La seva mesura és sense fi.,Their measure is without end.,Sefer Yetzirah 1:7
04-06,"Corazón, casa, lengua.","Cor, casa, llengua.","Heart, house, tongue.",Sefer Yetzirah (letras madre)
04-07,Profundidad de arriba y profundidad de abajo.,Profunditat de dalt i profunditat de baix.,Depth above and depth below.,Sefer Yetzirah 1:5
04-08,Corre y retorna.,Corre i retorna.,Run and return.,Sefer Yetzirah 1:7
04-09,El mundo se edifica con bondad.,El món s'edifica amb bondat.,The world is built by kindness.,Zohar / Salmos 89:3
04-10,La alegría rompe las barreras.,L'alegria trenca les barreres.,Joy breaks through barriers.,Tradición jasídica
04-11,Desciende una chispa en cada alma.,Descendeix una espurna en cada ànima.,A spark descends into every soul.,Cábala
04-12,El justo es fundamento del mundo.,El just és fonament del món.,The righteous is the foundation of the world.,Proverbios 10:25 / Zohar
04-13,V.I.T.R.I.O.L.,V.I.T.R.I.O.L.,V.I.T.R.I.O.L.,Alquimia (Visita Interiora Terrae...)
04-14,Lux occulta revelata.,Lux occulta revelata.,Hidden light revealed.,Golden Dawn
04-15,Ex oriente lux.,Ex oriente lux.,"From the East, light.",Motto esotérico
04-16,El presente baraja el futuro.,El present barreja el futur.,The present shuffles the future.,Tarot contemporáneo
04-17,Una carta abre un diálogo.,Una carta obre un diàleg.,A card opens a dialogue.,Tarot contemporáneo
04-18,Lo que niegas te ata.,Allò que negues t'lliga.,What you deny binds you.,Psico-tarot
04-19,Agradece y avanza.,Agraeix i avança.,Give thanks and move on.,Consejo iniciático
04-20,Lo Uno engendra la multiplicidad.,L'U engendra la multiplicitat.,The One begets multiplicity.,Tradición neoplatónica
04-21,La naturaleza ama ocultarse.,La natura estima ocultar-se.,Nature loves to hide.,Heráclito (adoptat en tradición hermética)
04-22,El símbolo une cielo y tierra.,El símbol uneix cel i terra.,The symbol unites heaven and earth.,Tradición hermética
04-23,"Respira, centra, observa.","Respira, centra, observa.","Breathe, center, observe.",Práctica meditativa
04-24,Purifica el espacio antes de abrirlo.,Purifica l'espai abans d'obrir-lo.,Purify the space before opening it.,Ritual contemporáneo
04-25,Cierra con gratitud.,Tanca amb gratitud.,Close with gratitude.,Ritual contemporáneo
